日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up,换手率-turnover_rate
2023-03-07,38.12,42.94,6.56,3.67,0.16,23.18,9823.79,9823.79,211.42,212.36,214.98,211.22,-1.52%,0.47%
2023-03-06,38.71,43.61,6.66,3.73,0.16,23.18,9975.72,9975.72,214.69,211.4,214.92,206.06,1.52%,0.79%
2023-03-03,38.13,42.95,6.56,3.68,0.16,23.18,9826.72,9826.72,211.48,211.47,213.26,210.26,0.38%,0.39%
2023-03-02,37.99,42.79,6.54,3.66,0.16,23.18,9789.6,9789.6,210.68,215.25,216.04,208.26,-2.67%,0.77%
2023-03-01,39.03,43.96,6.72,3.76,0.16,23.18,10057.79,10057.79,216.45,211.89,217.71,211.85,1.95%,0.6%
2023-02-28,38.28,43.12,6.59,3.69,0.16,23.18,9865.32,9865.32,212.31,212.36,214.62,211.05,0.7%,0.45%
2023-02-27,38.01,42.82,6.54,3.66,0.16,23.18,9796.93,9796.93,210.84,211.69,213.14,210.31,-1.06%,0.44%
2023-02-24,38.42,43.28,6.61,3.7,0.16,23.18,9901.95,9901.95,213.1,216.04,216.46,212.37,-1.89%,0.48%
2023-02-23,39.16,44.12,6.74,3.78,0.16,23.18,10093.2,10093.2,217.21,215.52,218.21,214.15,0.92%,0.46%
2023-02-22,38.81,43.72,6.68,3.74,0.16,23.18,10001.36,10001.36,215.24,214.99,217.67,213.77,-1.33%,0.59%
2023-02-21,39.33,44.31,6.77,3.79,0.16,23.18,10136.68,10136.68,218.15,219.45,222.08,216.57,-1.3%,0.63%
2023-02-20,39.85,44.89,6.86,3.84,0.16,23.18,10270.04,10270.04,221.02,218.67,221.76,213.59,0.07%,0.8%
2023-02-17,39.82,44.86,6.86,3.84,0.16,23.18,10263.2,10263.2,220.87,232.34,232.34,220.77,-5.19%,1.03%
2023-02-16,42.0,47.32,7.23,4.05,0.15,23.18,10825.22,10825.22,232.97,237.59,238.91,230.23,-1.2%,0.48%
2023-02-15,42.52,47.9,7.32,4.1,0.15,23.18,10957.12,10957.12,235.81,238.17,240.22,235.49,-0.54%,0.37%
2023-02-14,42.75,48.16,7.36,4.12,0.14,23.18,11016.96,11016.96,237.09,246.53,246.69,234.33,-1.95%,0.61%
2023-02-13,43.6,49.11,7.5,4.2,0.14,23.18,11235.57,11235.57,241.8,237.06,242.62,234.97,3.15%,0.64%
2023-02-10,42.26,47.61,7.28,4.07,0.15,23.18,10892.39,10892.39,234.41,238.12,239.53,233.92,-1.55%,0.4%
2023-02-09,42.93,48.36,7.39,4.14,0.14,23.18,11064.35,11064.35,238.11,235.07,239.69,232.07,1.29%,0.38%
2023-02-08,42.38,47.75,7.3,4.09,0.15,23.18,10923.17,10923.17,235.07,236.33,238.35,233.91,-0.2%,0.35%
2023-02-07,42.47,47.84,7.31,4.09,0.15,23.18,10944.91,10944.91,235.54,236.8,238.54,233.73,-0.55%,0.34%
2023-02-06,42.71,48.11,7.35,4.12,0.14,23.18,11005.97,11005.97,236.86,237.59,238.39,231.86,-1.23%,0.51%
2023-02-03,43.24,48.71,7.44,4.17,0.14,23.18,11142.75,11142.75,239.8,243.9,245.06,237.27,-2.12%,0.57%
2023-02-02,44.17,49.76,7.6,4.26,0.14,23.18,11384.56,11384.56,245.0,251.72,252.15,244.36,-2.24%,0.64%
2023-02-01,45.19,50.91,7.78,4.36,0.14,23.18,11645.91,11645.91,250.63,247.57,251.97,247.31,2.49%,0.55%
2023-01-31,44.09,49.67,7.59,4.25,0.14,23.18,11362.58,11362.58,244.53,246.99,251.0,243.08,-1.16%,0.67%
2023-01-30,44.61,50.25,7.68,4.3,0.14,23.18,11495.69,11495.69,247.4,251.98,257.86,245.72,4.13%,1.01%
2023-01-20,42.84,48.26,7.37,4.13,0.14,23.18,11040.17,11040.17,237.59,234.84,237.7,233.52,1.17%,0.51%
2023-01-19,42.34,47.7,7.29,4.08,0.15,23.18,10912.42,10912.42,234.84,234.09,237.33,232.44,-0.39%,0.35%
2023-01-18,42.51,47.88,7.32,4.1,0.15,23.18,10954.68,10954.68,235.75,235.76,237.0,232.92,0.65%,0.35%
2023-01-17,42.23,47.58,7.27,4.07,0.15,23.18,10884.09,10884.09,234.23,234.93,237.52,233.18,-0.23%,0.47%
2023-01-16,42.33,47.69,7.29,4.08,0.15,23.18,10909.0,10909.0,234.77,230.5,236.28,228.71,1.62%,0.8%
2023-01-13,41.65,46.92,7.17,4.02,0.15,23.18,10734.85,10734.85,231.02,233.39,237.87,226.03,1.38%,0.99%
2023-01-12,41.08,46.28,7.07,3.96,0.15,23.18,10588.3,10588.3,227.87,227.08,230.64,225.86,1.32%,0.53%
2023-01-11,40.55,45.68,6.98,3.91,0.15,23.18,10450.54,10450.54,224.9,226.29,229.18,222.87,-0.96%,0.59%
2023-01-10,40.94,46.12,7.05,3.95,0.15,23.18,10551.66,10551.66,227.08,219.54,228.66,217.25,3.7%,0.87%
2023-01-09,39.48,44.48,6.8,3.81,0.16,23.18,10175.52,10175.52,218.98,222.29,222.29,217.62,-0.01%,0.61%
2023-01-06,39.49,44.49,6.8,3.81,0.16,23.18,10176.98,10176.98,219.02,213.41,223.39,212.39,2.25%,0.88%
2023-01-05,38.62,43.51,6.65,3.72,0.16,23.18,9953.49,9953.49,214.21,203.95,215.6,202.38,6.12%,1.24%
2023-01-04,36.39,41.0,6.26,3.51,0.17,23.18,9379.5,9379.5,201.85,203.16,203.43,200.82,-1.44%,0.94%
2023-01-03,36.93,41.6,6.36,3.56,0.17,23.18,9517.01,9517.01,204.81,206.05,206.35,200.65,-0.96%,0.53%
2022-12-30,37.29,42.0,6.42,3.59,0.17,23.18,9609.34,9609.34,206.8,209.47,211.31,206.58,-0.14%,0.37%
2022-12-29,37.34,42.06,6.43,3.6,0.17,23.18,9622.53,9622.53,207.08,205.53,209.1,205.21,-0.01%,0.5%
