日期 - date,滚动市盈率 - pe_ttm,滚动扣非市盈率 - koufei_pe_ttm,滚动市净率 - pb_ttm,动态市销率 - ps_ttm,动态股息收益率 % - dividend_yield,ROE %,总市值 - total market cap,A股总市值 - A gu zong shi zhi,收盘价(前复权) - close price,开盘价-open,最高价-high,最低价-low,涨跌幅-up
2018-12-03,48.15,74.7,5.49,6.53,0.0,11.41,1774.67,1774.67,80.41,82.07,83.03,80.12,1.02%
2018-11-30,47.66,73.94,5.44,6.47,0.0,11.41,1756.67,1756.67,79.59,77.58,80.55,77.58,2.56%
2018-11-29,46.47,72.1,5.3,6.31,0.0,11.41,1712.77,1712.77,77.6,79.06,81.05,77.6,-0.83%
2018-11-28,46.85,72.7,5.35,6.36,0.0,11.41,1727.04,1727.04,78.25,75.33,79.04,74.84,4.07%
2018-11-27,45.02,69.85,5.14,6.11,0.0,11.41,1659.43,1659.43,75.19,74.27,76.43,73.36,1.31%
2018-11-26,44.44,68.95,5.07,6.03,0.0,11.41,1637.92,1637.92,74.21,73.4,74.47,72.4,0.87%
2018-11-23,44.06,68.35,5.03,5.98,0.0,11.41,1623.87,1623.87,73.57,77.48,77.52,73.5,-5.04%
2018-11-22,46.4,71.99,5.29,6.3,0.0,11.41,1710.14,1710.14,77.48,77.77,79.0,77.17,-0.94%
2018-11-21,46.84,72.67,5.34,6.36,0.0,11.41,1726.38,1726.38,78.22,77.08,79.31,76.08,1.13%
2018-11-20,46.31,71.86,5.28,6.28,0.0,11.41,1707.07,1707.07,77.34,78.28,78.77,77.13,-1.99%
2018-11-19,47.25,73.32,5.39,6.41,0.0,11.41,1741.75,1741.75,78.92,79.15,81.03,78.57,-0.95%
2018-11-16,47.71,74.02,5.44,6.47,0.0,11.41,1758.43,1758.43,79.67,81.23,81.31,78.19,-1.52%
2018-11-15,48.44,75.16,5.53,6.57,0.0,11.41,1785.65,1785.65,80.9,79.97,81.75,79.46,0.43%
2018-11-14,48.24,74.84,5.5,6.55,0.0,11.41,1777.96,1777.96,80.56,79.97,82.55,79.31,-0.77%
2018-11-13,48.61,75.42,5.55,6.6,0.0,11.41,1791.79,1791.79,81.18,81.55,82.06,79.36,-1.95%
2018-11-12,49.58,76.92,5.66,6.73,0.0,11.41,1827.35,1827.35,82.79,76.58,83.34,76.28,7.07%
2018-11-09,46.3,71.84,5.28,6.28,0.0,11.41,1706.63,1706.63,77.32,76.58,78.62,76.24,0.57%
2018-11-08,46.04,71.43,5.25,6.25,0.0,11.41,1696.97,1696.97,76.89,79.4,79.94,76.47,-2.19%
2018-11-07,47.07,73.03,5.37,6.39,0.0,11.41,1734.94,1734.94,78.61,79.76,81.93,77.78,-3.1%
2018-11-06,48.58,75.37,5.54,6.59,0.0,11.41,1790.48,1790.48,81.12,78.6,81.95,75.58,2.75%
2018-11-05,47.28,73.35,5.39,6.42,0.0,11.41,1742.62,1742.62,78.95,78.05,82.03,77.37,1.16%
2018-11-02,46.74,72.51,5.33,6.34,0.0,11.41,1722.65,1722.65,78.05,75.72,78.2,75.63,6.62%
2018-11-01,43.84,68.01,5.0,5.95,0.0,11.41,1615.75,1615.75,73.21,74.79,76.4,72.81,-1.19%
2018-10-31,44.37,68.83,5.06,6.02,0.0,11.41,1635.29,1635.29,74.09,74.88,77.01,73.79,-0.67%
2018-10-30,44.66,69.3,5.1,6.06,0.0,11.41,1646.26,1646.26,74.59,70.26,74.94,69.5,5.99%
2018-10-29,42.14,65.38,4.81,5.72,0.0,11.41,1553.19,1553.19,70.37,74.53,74.99,70.21,-5.15%
2018-10-26,44.42,68.93,5.07,6.03,0.0,11.41,1637.48,1637.48,74.19,80.25,80.25,72.61,-7.8%
2018-10-25,59.64,70.57,5.76,7.7,0.0,11.14,1775.99,1775.99,80.47,74.59,81.13,74.1,5.08%
2018-10-24,56.76,67.16,5.48,7.33,0.0,11.14,1690.16,1690.16,76.58,77.41,79.03,75.7,-1.28%
2018-10-23,57.5,68.04,5.56,7.42,0.0,11.14,1712.11,1712.11,77.57,77.67,79.52,75.68,-1.39%
2018-10-22,58.31,69.0,5.63,7.53,0.0,11.14,1736.26,1736.26,78.67,73.68,80.66,73.68,7.23%
